OBJECTID,Precinct,VoteByMail,BallotGroup,SerialNumber,VBMVoters,PollVoters,Shape__Area,Shape__Length
36469,5100016A,0,905,729,1635,917,15589897.7714844,18265.6135147874
36470,5100017A,0,905,730,1368,699,10356231.8808594,16022.095444126
36471,5100041A,0,905,733,1589,796,5432097.43554688,12522.1879770559
36472,5100013A,0,905,727,1396,727,6524378.74414063,14969.8215544488
36473,5100024A,0,905,732,1831,901,17186790.2265625,18494.016035781
36474,2950032A,0,865,420,1468,675,5289428.81933594,9527.0722697635
36475,2950146G,1,865,6668,5,1,63975.9873046875,1015.02127564613
36476,2950013A,0,865,416,1203,547,10864456.5429688,19933.5609290868
36477,2600104B,1,556,6572,0,0,608619.609375,3864.72370072722
36478,2600057A,1,556,6565,74,36,2355112.33984375,6722.93503607471
36479,1030010A,1,913,6197,560,301,3474127.1640625,9224.44001922366
36480,1030060A,1,913,6203,577,318,2429443.75585938,7344.48929549296
36481,9000495A,0,273,1220,1628,696,4381262.74609375,8619.55228283146
36482,9000724A,0,273,1269,2736,960,6114747.52832031,13764.3679596556
36483,9000750A,0,273,1275,2010,770,6219830.98535156,10609.0773370736
36484,9001621A,0,273,1434,2688,870,19131061.6025391,18428.9897377367
36485,5250149A,1,164,7144,821,351,6120729.49121094,22730.5334534215
36486,5600071C,1,176,7196,0,0,334171.059570313,3399.78374271249
36487,5600071E,1,176,7197,0,0,1486416.40527344,13261.0428901015
36488,4500024C,1,574,6939,0,0,5122576.57714844,12053.885911374
36489,6300002H,1,342,7332,0,0,1494639.83105469,59958.2091708274
36490,6300002G,1,342,7331,0,0,287625678.960938,91114.7765823053
36491,7510006A,0,483,1009,1200,665,8026266.30957031,14355.9467323469
36492,7510009A,0,483,1011,1559,670,11074540.2597656,16286.4654515671
36493,7510008A,0,483,1010,1558,700,12928212.2285156,18649.6226344847
36494,7510001A,0,483,1008,1751,801,10727287.1748047,14698.0152638616
36495,3430008A,1,483,6734,120,59,902726.9921875,5209.61156264646
36496,3430100G,1,483,6738,34,16,197765.499023438,2214.25196987074
36497,0150037A,1,578,6060,905,379,6418641.40039063,11339.3789781328
36498,0150008A,1,578,6057,1084,458,4460698.78027344,11379.6083313872
36499,0150033A,0,578,17,1534,697,18107956.5458984,22204.1408650792
36500,0150018A,0,578,14,2028,877,13442344.1191406,17254.4228937736
36501,0150011A,0,578,11,1420,689,10933404.2890625,14077.2616745653
36502,3150060D,1,535,6691,189,48,1010549.40039063,4488.32645000921
36503,3150005A,1,535,6685,8,2,113309.498046875,1406.00470078697
36504,3150040D,1,535,6690,243,67,4214477.83398438,11244.2487106676
36505,4500090A,1,572,6947,699,335,9632475.11132813,12806.3868852333
36506,0350021A,1,579,6085,0,0,435993.029296875,8353.46022708052
36507,0350005B,1,579,6083,604,171,13198850.4003906,14854.6109350443
36508,0350007A,0,579,32,1731,570,27209392.625,26398.1724377796
36509,0350012A,1,579,6084,985,337,42914545.96875,26762.3055705823
36510,0350017A,0,579,34,2329,614,29119238.4667969,23201.2094556506
36511,5250314A,1,161,7149,257,137,2172254.44335938,8249.70596945227
36512,9000770A,0,288,1279,1816,772,21220817.2988281,22208.0586292019
36513,9003168A,0,288,1668,1669,705,10401914.6132813,16955.0498220039
36514,9003262A,1,288,7766,81,33,2034003.40429688,9500.2848998607
36515,9000919B,1,288,7613,475,277,2225901.22363281,10683.2728740099
36516,6850033A,1,419,7427,0,0,221386907.178711,83644.3625515918
36517,7770011A,0,193,1059,2184,675,90580706.0087891,52158.5786638047
36518,7770013A,0,193,1060,2073,667,24761926.3183594,25030.9460786495
36519,7770001A,1,193,7536,634,173,28827131.6933594,24970.1370705844
36520,2350002C,1,532,6509,3,0,11598434.0263672,15586.3580879977
36521,2350020A,1,532,6511,28,12,1311458960.41797,157958.423330369
36522,9002968M,1,941,7749,0,0,69160.0390625,1763.05955620748
36523,9001503H,1,941,7659,0,0,14256.4609375,473.777015257865
36524,9002804G,1,941,7737,0,0,28389.978515625,1337.73406016813
36525,1070014A,0,798,167,1900,690,12883433.7441406,17084.5192483257
36526,1070018D,1,798,6237,352,102,3085799.6328125,7039.53546811957
36527,1070002B,1,798,6233,140,45,16676319.46875,24638.3453271046
36528,1070002A,1,798,6232,620,240,9253483.35742188,13525.0024779489
36529,1070031A,0,798,172,2047,690,18662361.8652344,19575.916009512
36530,1070008A,0,798,165,2239,913,29021084.6425781,36357.6154843038
36531,1070021A,1,798,6238,995,383,12565673.7480469,19303.1835222021
36532,1070020A,0,798,169,1602,612,10191560.9619141,15973.7723328735
36533,0050032A,1,337,6019,0,0,617872.008789063,3478.19246989331
36534,9000224A,0,771,1143,1455,619,6248596.56347656,12360.440800267
36535,9001863A,1,771,7679,4,0,10433836.2958984,18320.6915065659
36536,9007808A,0,771,1806,2613,899,25867280.1074219,20353.6460177713
36537,9003009A,0,771,1657,1400,528,17006711.8046875,21976.1373379836
36538,9000191A,0,771,1137,1728,693,23906039.75,25043.0243286059
36539,9000118A,0,771,1120,2963,950,18180110.9707031,20483.7783146155
36540,9001825B,0,771,1476,2076,730,13954668.0888672,15869.6668475591
36541,9000315A,0,771,1174,2411,816,47450742.2939453,37197.3522404854
36542,9006274A,0,771,1752,1474,601,13647730.6220703,15845.709541188
36543,9000229A,0,771,1145,1808,653,13963391.3457031,15855.4111349991
36544,9007833A,0,771,1808,1639,674,15015802.78125,16511.2903414875
